Gene stable ID	Gene name	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSMUSG00000064336	mt-Tf	1	68	MT
ENSMUSG00000064337	mt-Rnr1	70	1024	MT
ENSMUSG00000064338	mt-Tv	1025	1093	MT
ENSMUSG00000064339	mt-Rnr2	1094	2675	MT
ENSMUSG00000064340	mt-Tl1	2676	2750	MT
ENSMUSG00000064341	mt-Nd1	2751	3707	MT
ENSMUSG00000064342	mt-Ti	3706	3774	MT
ENSMUSG00000064343	mt-Tq	3772	3842	MT
ENSMUSG00000064344	mt-Tm	3845	3913	MT
ENSMUSG00000064345	mt-Nd2	3914	4951	MT
ENSMUSG00000064346	mt-Tw	4950	5016	MT
ENSMUSG00000064347	mt-Ta	5018	5086	MT
ENSMUSG00000064348	mt-Tn	5089	5159	MT
ENSMUSG00000064349	mt-Tc	5192	5257	MT
ENSMUSG00000064350	mt-Ty	5260	5326	MT
ENSMUSG00000064351	mt-Co1	5328	6872	MT
ENSMUSG00000064352	mt-Ts1	6870	6938	MT
ENSMUSG00000064353	mt-Td	6942	7011	MT
ENSMUSG00000064354	mt-Co2	7013	7696	MT
ENSMUSG00000064355	mt-Tk	7700	7764	MT
ENSMUSG00000064356	mt-Atp8	7766	7969	MT
ENSMUSG00000064357	mt-Atp6	7927	8607	MT
ENSMUSG00000064358	mt-Co3	8607	9390	MT
ENSMUSG00000064359	mt-Tg	9391	9458	MT
ENSMUSG00000064360	mt-Nd3	9459	9806	MT
ENSMUSG00000064361	mt-Tr	9808	9875	MT
ENSMUSG00000065947	mt-Nd4l	9877	10173	MT
ENSMUSG00000064363	mt-Nd4	10167	11544	MT
ENSMUSG00000064364	mt-Th	11546	11612	MT
ENSMUSG00000064365	mt-Ts2	11613	11671	MT
ENSMUSG00000064366	mt-Tl2	11671	11741	MT
ENSMUSG00000064367	mt-Nd5	11742	13565	MT
ENSMUSG00000064368	mt-Nd6	13552	14070	MT
ENSMUSG00000064369	mt-Te	14071	14139	MT
ENSMUSG00000064370	mt-Cytb	14145	15288	MT
ENSMUSG00000064371	mt-Tt	15289	15355	MT
ENSMUSG00000064372	mt-Tp	15356	15422	MT
ENSMUSG00000065629	Gm24826	39558614	39558828	1
ENSMUSG00000095019	AC234645.1	81607	82689	JH584303.1
ENSMUSG00000094915	AC168977.2	31967	34932	GL456212.1
ENSMUSG00000079808	AC168977.1	128555	150452	GL456212.1
ENSMUSG00000094741	AC140325.3	6366	8939	GL456354.1
ENSMUSG00000074720	AC140325.1	25923	27230	GL456354.1
ENSMUSG00000094337	AC140325.2	82993	86051	GL456354.1
ENSMUSG00000095570	AC140325.4	146926	149659	GL456354.1
ENSMUSG00000079800	AC125149.3	9124	58882	GL456210.1
ENSMUSG00000096728	AC140325.5	158543	161339	GL456354.1
ENSMUSG00000079222	AC132444.1	17591	30203	GL456221.1
ENSMUSG00000095092	AC125149.5	108390	110303	GL456210.1
ENSMUSG00000079192	AC125149.1	123792	124928	GL456210.1
ENSMUSG00000094874	AC132444.3	30394	32306	GL456221.1
ENSMUSG00000079794	AC125149.2	135395	136519	GL456210.1
ENSMUSG00000095500	AC132444.5	32239	47294	GL456221.1
ENSMUSG00000094799	AC125149.4	147792	149707	GL456210.1
ENSMUSG00000095450	AC132444.4	46295	46666	GL456221.1
ENSMUSG00000094728	AC132444.2	58743	59114	GL456221.1
ENSMUSG00000062783	Csprs	111572	163011	GL456221.1
ENSMUSG00000096808	AC132444.6	151235	152734	GL456221.1
ENSMUSG00000096776	Vmn1r186	94186	95088	GL456219.1
ENSMUSG00000096244	AC102264.1	149261	150163	GL456219.1
ENSMUSG00000094836	AC123873.3	4975	7356	JH584299.1
ENSMUSG00000094383	AC123873.1	90482	93220	JH584299.1
ENSMUSG00000094474	AC123873.2	173050	176134	JH584299.1
ENSMUSG00000094791	AC126035.1	314841	317584	JH584299.1
ENSMUSG00000096550	Gm16367	477246	480331	JH584299.1
ENSMUSG00000094172	AC163611.1	562161	564894	JH584299.1
ENSMUSG00000094887	AC163611.2	587624	625594	JH584299.1
ENSMUSG00000091585	AC140365.1	716296	720517	JH584299.1
ENSMUSG00000095763	AC124606.2	806210	809281	JH584299.1
ENSMUSG00000095523	AC124606.1	837364	840451	JH584299.1
ENSMUSG00000095475	AC133095.2	910289	913083	JH584299.1
ENSMUSG00000094855	AC133095.1	921942	924675	JH584299.1
ENSMUSG00000095742	CAAA01147332.1	66	1479	JH584295.1
ENSMUSG00000095041	AC149090.1	52190	59690	JH584304.1
ENSMUSG00000095666	AC164084.2	41338	44417	JH584296.1
ENSMUSG00000096680	AC164084.3	130715	133448	JH584296.1
ENSMUSG00000095505	AC164084.1	195181	197903	JH584296.1
ENSMUSG00000094722	AC125178.1	90528	93623	JH584298.1
ENSMUSG00000095728	AC125178.3	168268	170838	JH584298.1
ENSMUSG00000095250	AC133103.4	30483	32396	GL456211.1
ENSMUSG00000095076	AC125178.2	179693	182203	JH584298.1
ENSMUSG00000095787	AC133103.6	54469	54840	GL456211.1
ENSMUSG00000096100	AC133103.7	66955	67326	GL456211.1
ENSMUSG00000094054	AC133103.2	113868	114758	GL456211.1
ENSMUSG00000095672	AC133103.5	160465	162404	GL456211.1
ENSMUSG00000079190	AC133103.1	167446	196478	GL456211.1
ENSMUSG00000094514	AC133103.3	226405	229375	GL456211.1
ENSMUSG00000094303	AC165294.1	19740	22248	JH584297.1
ENSMUSG00000096236	AC165294.2	31101	33667	JH584297.1
ENSMUSG00000096756	AC165294.3	108318	111392	JH584297.1
ENSMUSG00000101796	Gm29277	206151	207788	Y
ENSMUSG00000101492	Gm29089	321659	323295	Y
ENSMUSG00000100968	Gm2098	670179	695777	Y
ENSMUSG00000053211	Zfy1	725128	797409	Y
ENSMUSG00000069053	Uba1y	818649	844224	Y
ENSMUSG00000101036	Gm28588	841783	847750	Y
ENSMUSG00000101107	Gm28587	869709	873309	Y
ENSMUSG00000101666	Rhoay-ps3	873640	874215	Y
ENSMUSG00000056673	Kdm5d	897788	956786	Y
ENSMUSG00000088450	Gm26369	55599408	55599507	16
ENSMUSG00000088717	Gm22725	70659620	70659777	14
ENSMUSG00000069049	Eif2s3y	1010543	1028847	Y
ENSMUSG00000099876	Gm29650	1048393	1049134	Y
ENSMUSG00000091749	Tspy-ps	1055764	1058868	Y
ENSMUSG00000068457	Uty	1096861	1245759	Y
ENSMUSG00000069045	Ddx3y	1260771	1286629	Y
ENSMUSG00000101059	Gm4017	1268548	1268885	Y
